,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Logistic Regression,0.7546666666666667,0.2749445676274945,0.7515151515151515,0.4025974025974026,0.8537192146180911,0.39866645277290497
XGBoost,0.8946666666666667,0.5555555555555556,0.21212121212121213,0.30701754385964913,0.8310293950743388,0.38690609554218064
Random Forest,0.864,0.3803680981595092,0.37575757575757573,0.3780487804878049,0.8278515491998638,0.36282053455559915
Gradient Boosting,0.884,0.44155844155844154,0.20606060606060606,0.2809917355371901,0.8271615026671206,0.3705514997917845
LightGBM,0.8853333333333333,0.4520547945205479,0.2,0.2773109243697479,0.8237566678016117,0.3740834033668352
★ Stacking Ensemble,0.8826666666666667,0.4067796610169492,0.14545454545454545,0.21428571428571427,0.7149926228577914,0.30510440301568437
